Date,Home,Away
2010-04-01,Calgary,Vancouver
2010-04-01,Nashville,Atlanta
2010-04-01,Denver,Seattle
2010-04-01,Los Angeles,Oakland
2010-04-01,Dallas,Merida
2010-04-02,Phoenix,Tijuana
2010-04-02,Monterrey,San Antonio
2010-04-02,Charlotte,Birmingham
2010-04-02,Calgary,Vancouver
2010-04-02,Nashville,Atlanta
2010-04-02,Denver,Seattle
2010-04-02,Los Angeles,Oakland
2010-04-02,Dallas,Merida
2010-04-03,Phoenix,Tijuana
2010-04-03,Monterrey,San Antonio
2010-04-03,Charlotte,Birmingham
2010-04-03,Calgary,Vancouver
2010-04-03,Nashville,Atlanta
2010-04-03,Denver,Seattle
2010-04-03,Los Angeles,Oakland
2010-04-03,Dallas,Merida
2010-04-04,Phoenix,Tijuana
2010-04-04,Monterrey,San Antonio
2010-04-04,Charlotte,Birmingham
2010-04-04,Calgary,Seattle
2010-04-05,Phoenix,Oakland
2010-04-05,Monterrey,Dallas
2010-04-04,Atlanta,Nashville
2010-04-05,Merida,San Antonio
2010-04-05,Tijuana,Los Angeles
2010-04-05,Vancouver,Denver
2010-04-05,Birmingham,Charlotte
2010-04-05,Calgary,Seattle
2010-04-06,Phoenix,Oakland
2010-04-06,Monterrey,Dallas
2010-04-05,Atlanta,Nashville
2010-04-06,Merida,San Antonio
2010-04-06,Tijuana,Los Angeles
2010-04-06,Vancouver,Denver
2010-04-06,Birmingham,Charlotte
2010-04-06,Calgary,Seattle
2010-04-07,Phoenix,Oakland
2010-04-07,Monterrey,Dallas
2010-04-06,Atlanta,Nashville
2010-04-07,Merida,San Antonio
2010-04-07,Tijuana,Los Angeles
2010-04-07,Vancouver,Denver
2010-04-07,Birmingham,Charlotte
2010-04-08,Birmingham,Atlanta
2010-04-08,Tijuana,Oakland
2010-04-08,San Antonio,Dallas
2010-04-07,Seattle,Calgary
2010-04-08,Los Angeles,Phoenix
2010-04-08,Merida,Monterrey
2010-04-08,Charlotte,Nashville
2010-04-08,Denver,Vancouver
2010-04-09,Birmingham,Atlanta
2010-04-09,Tijuana,Oakland
2010-04-09,San Antonio,Dallas
2010-04-08,Seattle,Calgary
2010-04-09,Los Angeles,Phoenix
2010-04-09,Merida,Monterrey
2010-04-09,Charlotte,Nashville
2010-04-09,Denver,Vancouver
2010-04-10,Birmingham,Atlanta
2010-04-10,Tijuana,Oakland
2010-04-10,San Antonio,Dallas
2010-04-09,Seattle,Calgary
2010-04-10,Los Angeles,Phoenix
2010-04-10,Merida,Monterrey
2010-04-10,Charlotte,Nashville
2010-04-10,Denver,Vancouver
2010-04-11,Oakland,Tijuana
2010-04-11,Nashville,Birmingham
2010-04-11,Atlanta,Charlotte
2010-04-11,Dallas,San Antonio
2010-04-11,Vancouver,Calgary
2010-04-11,Phoenix,Los Angeles
