Date,Home,Away
2010-04-01,Vancouver,Seattle
2010-04-01,Denver,Calgary
2010-04-01,Los Angeles,Oakland
2010-04-01,San Antonio,Monterrey
2010-04-01,Merida,Dallas
2010-04-02,Charlotte,Atlanta
2010-04-02,Birmingham,Nashville
2010-04-02,Phoenix,Tijuana
2010-04-02,Vancouver,Seattle
2010-04-02,Denver,Calgary
2010-04-02,Los Angeles,Oakland
2010-04-02,San Antonio,Monterrey
2010-04-02,Merida,Dallas
2010-04-03,Charlotte,Atlanta
2010-04-03,Birmingham,Nashville
2010-04-03,Phoenix,Tijuana
2010-04-03,Vancouver,Seattle
2010-04-03,Denver,Calgary
2010-04-03,Los Angeles,Oakland
2010-04-03,San Antonio,Monterrey
2010-04-03,Merida,Dallas
2010-04-04,Charlotte,Atlanta
2010-04-04,Birmingham,Nashville
2010-04-04,Phoenix,Tijuana
2010-04-05,Nashville,Atlanta
2010-04-05,Birmingham,Charlotte
2010-04-04,Merida,Monterrey
2010-04-04,Seattle,Denver
2010-04-05,Tijuana,Los Angeles
2010-04-05,San Antonio,Dallas
2010-04-05,Vancouver,Calgary
2010-04-05,Oakland,Phoenix
2010-04-06,Nashville,Atlanta
2010-04-06,Birmingham,Charlotte
2010-04-05,Merida,Monterrey
2010-04-05,Seattle,Denver
2010-04-06,Tijuana,Los Angeles
2010-04-06,San Antonio,Dallas
2010-04-06,Vancouver,Calgary
2010-04-06,Oakland,Phoenix
2010-04-07,Nashville,Atlanta
2010-04-07,Birmingham,Charlotte
2010-04-06,Merida,Monterrey
2010-04-06,Seattle,Denver
2010-04-07,Tijuana,Los Angeles
2010-04-07,San Antonio,Dallas
2010-04-07,Vancouver,Calgary
2010-04-07,Oakland,Phoenix
2010-04-08,Calgary,Denver
2010-04-08,Nashville,Charlotte
2010-04-08,San Antonio,Merida
2010-04-08,Dallas,Monterrey
2010-04-08,Oakland,Tijuana
2010-04-08,Atlanta,Birmingham
2010-04-08,Seattle,Vancouver
2010-04-08,Phoenix,Los Angeles
2010-04-09,Calgary,Denver
2010-04-09,Nashville,Charlotte
2010-04-09,San Antonio,Merida
2010-04-09,Dallas,Monterrey
2010-04-09,Oakland,Tijuana
