Date,Home,Away
2010-04-01,Birmingham,Atlanta
2010-04-01,Merida,San Antonio
2010-04-01,Monterrey,Dallas
2010-04-01,Tijuana,Phoenix
2010-04-01,Seattle,Vancouver
2010-04-02,Charlotte,Nashville
2010-04-02,Oakland,Los Angeles
2010-04-02,Calgary,Denver
2010-04-02,Birmingham,Atlanta
2010-04-02,Merida,San Antonio
2010-04-02,Monterrey,Dallas
2010-04-02,Tijuana,Phoenix
2010-04-02,Seattle,Vancouver
2010-04-03,Charlotte,Nashville
2010-04-03,Oakland,Los Angeles
2010-04-03,Calgary,Denver
2010-04-03,Birmingham,Atlanta
2010-04-03,Merida,San Antonio
2010-04-03,Monterrey,Dallas
2010-04-03,Tijuana,Phoenix
2010-04-03,Seattle,Vancouver
2010-04-04,Charlotte,Nashville
2010-04-04,Oakland,Los Angeles
2010-04-04,Calgary,Denver
2010-04-05,Denver,Seattle
2010-04-05,Los Angeles,Phoenix
2010-04-05,Charlotte,Birmingham
2010-04-05,Oakland,Tijuana
2010-04-04,Dallas,Merida
2010-04-05,Monterrey,San Antonio
2010-04-05,Atlanta,Nashville
2010-04-05,Calgary,Vancouver
2010-04-06,Denver,Seattle
2010-04-06,Los Angeles,Phoenix
2010-04-06,Charlotte,Birmingham
2010-04-06,Oakland,Tijuana
2010-04-05,Dallas,Merida
2010-04-06,Monterrey,San Antonio
2010-04-06,Atlanta,Nashville
2010-04-06,Calgary,Vancouver
2010-04-07,Denver,Seattle
2010-04-07,Los Angeles,Phoenix
2010-04-07,Charlotte,Birmingham
2010-04-07,Oakland,Tijuana
2010-04-06,Dallas,Merida
2010-04-07,Monterrey,San Antonio
2010-04-07,Atlanta,Nashville
2010-04-07,Calgary,Vancouver
2010-04-08,Los Angeles,Tijuana
2010-04-08,Birmingham,Nashville
2010-04-08,Charlotte,Atlanta
2010-04-08,Oakland,Phoenix
2010-04-08,San Antonio,Monterrey
2010-04-08,Seattle,Denver
2010-04-08,Vancouver,Calgary
2010-04-08,Merida,Dallas
2010-04-09,Los Angeles,Tijuana
2010-04-09,Birmingham,Nashville
2010-04-09,Charlotte,Atlanta
2010-04-09,Oakland,Phoenix
2010-04-09,San Antonio,Monterrey
2010-04-09,Seattle,Denver
2010-04-09,Vancouver,Calgary
2010-04-09,Merida,Dallas
2010-04-10,Los Angeles,Tijuana
2010-04-10,Birmingham,Nashville
2010-04-10,Charlotte,Atlanta
2010-04-10,Oakland,Phoenix
2010-04-10,San Antonio,Monterrey
2010-04-10,Seattle,Denver
2010-04-10,Vancouver,Calgary
2010-04-10,Merida,Dallas
2010-04-11,Denver,Vancouver
2010-04-11,Merida,Monterrey
2010-04-11,Dallas,San Antonio
2010-04-11,Phoenix,Tijuana
2010-04-11,Nashville,Charlotte
2010-04-11,Calgary,Seattle
2010-04-11,Los Angeles,Oakland
2010-04-11,Atlanta,Birmingham
2010-04-12,Denver,Vancouver
2010-04-12,Merida,Monterrey
2010-04-12,Dallas,San Antonio
2010-04-12,Phoenix,Tijuana
2010-04-12,Nashville,Charlotte
2010-04-12,Calgary,Seattle
2010-04-12,Los Angeles,Oakland
2010-04-12,Atlanta,Birmingham
2010-04-13,Denver,Vancouver
2010-04-13,Merida,Monterrey
2010-04-13,Dallas,San Antonio
2010-04-13,Phoenix,Tijuana
2010-04-13,Nashville,Charlotte
2010-04-13,Calgary,Seattle
2010-04-13,Los Angeles,Oakland
2010-04-13,Atlanta,Birmingham
2010-04-14,Atlanta,Charlotte
2010-04-14,San Antonio,Dallas
2010-04-14,Vancouver,Denver
2010-04-14,Phoenix,Oakland
2010-04-14,Nashville,Birmingham
2010-04-15,Seattle,Calgary
2010-04-15,Tijuana,Los Angeles
2010-04-15,Monterrey,Merida
2010-04-15,Atlanta,Charlotte
2010-04-15,San Antonio,Dallas
2010-04-15,Vancouver,Denver
2010-04-15,Phoenix,Oakland
2010-04-15,Nashville,Birmingham
2010-04-16,Seattle,Calgary
2010-04-16,Tijuana,Los Angeles
2010-04-16,Monterrey,Merida
2010-04-16,Atlanta,Charlotte
2010-04-16,San Antonio,Dallas
2010-04-16,Vancouver,Denver
2010-04-16,Phoenix,Oakland
2010-04-16,Nashville,Birmingham
2010-04-17,Seattle,Calgary
2010-04-17,Tijuana,Los Angeles
2010-04-17,Monterrey,Merida
2010-04-18,Tijuana,Oakland
2010-04-18,Denver,Calgary
2010-04-17,Birmingham,Charlotte
2010-04-17,Nashville,Atlanta
2010-04-18,San Antonio,Merida
2010-04-18,Phoenix,Los Angeles
2010-04-18,Vancouver,Seattle
2010-04-18,Dallas,Monterrey
2010-04-19,Tijuana,Oakland
2010-04-19,Denver,Calgary
2010-04-18,Birmingham,Charlotte
2010-04-18,Nashville,Atlanta
2010-04-19,San Antonio,Merida
2010-04-19,Phoenix,Los Angeles
2010-04-19,Vancouver,Seattle
2010-04-19,Dallas,Monterrey
2010-04-20,Tijuana,Oakland
2010-04-20,Denver,Calgary
2010-04-19,Birmingham,Charlotte
2010-04-19,Nashville,Atlanta
2010-04-20,San Antonio,Merida
2010-04-20,Phoenix,Los Angeles
2010-04-20,Vancouver,Seattle
2010-04-20,Dallas,Monterrey
2010-04-21,Nashville,Tijuana
2010-04-21,Vancouver,Dallas
2010-04-21,San Antonio,Seattle
2010-04-21,Birmingham,Los Angeles
2010-04-21,Atlanta,Phoenix
2010-04-21,Oakland,Charlotte
2010-04-21,Calgary,Merida
2010-04-21,Monterrey,Denver
2010-04-22,Nashville,Tijuana
2010-04-22,Vancouver,Dallas
2010-04-22,San Antonio,Seattle
2010-04-22,Birmingham,Los Angeles
2010-04-22,Atlanta,Phoenix
2010-04-22,Oakland,Charlotte
2010-04-22,Calgary,Merida
2010-04-22,Monterrey,Denver
2010-04-23,Nashville,Tijuana
2010-04-23,Vancouver,Dallas
2010-04-23,San Antonio,Seattle
2010-04-23,Birmingham,Los Angeles
2010-04-23,Atlanta,Phoenix
2010-04-23,Oakland,Charlotte
2010-04-23,Calgary,Merida
2010-04-23,Monterrey,Denver
2010-04-24,Tijuana,Charlotte
2010-04-24,Seattle,Monterrey
2010-04-24,Atlanta,Los Angeles
2010-04-24,Dallas,Denver
2010-04-24,San Antonio,Calgary
