Date,Home,Away
2010-04-01,Seattle,Denver
2010-04-01,Birmingham,Atlanta
2010-04-01,Calgary,Vancouver
2010-04-01,Tijuana,Los Angeles
2010-04-01,Monterrey,San Antonio
2010-04-02,Dallas,Merida
2010-04-02,Nashville,Charlotte
2010-04-02,Oakland,Phoenix
2010-04-02,Seattle,Denver
2010-04-02,Birmingham,Atlanta
2010-04-02,Calgary,Vancouver
2010-04-02,Tijuana,Los Angeles
2010-04-02,Monterrey,San Antonio
2010-04-03,Dallas,Merida
2010-04-03,Nashville,Charlotte
2010-04-03,Oakland,Phoenix
2010-04-03,Seattle,Denver
2010-04-03,Birmingham,Atlanta
2010-04-03,Calgary,Vancouver
2010-04-03,Tijuana,Los Angeles
2010-04-03,Monterrey,San Antonio
2010-04-04,Dallas,Merida
2010-04-04,Nashville,Charlotte
2010-04-04,Oakland,Phoenix
2010-04-05,Atlanta,Nashville
2010-04-05,Monterrey,Dallas
2010-04-05,Tijuana,Oakland
2010-04-04,Denver,Vancouver
2010-04-05,Merida,San Antonio
2010-04-05,Seattle,Calgary
2010-04-05,Charlotte,Birmingham
2010-04-05,Los Angeles,Phoenix
2010-04-06,Atlanta,Nashville
2010-04-06,Monterrey,Dallas
2010-04-06,Tijuana,Oakland
2010-04-05,Denver,Vancouver
2010-04-06,Merida,San Antonio
2010-04-06,Seattle,Calgary
2010-04-06,Charlotte,Birmingham
2010-04-06,Los Angeles,Phoenix
2010-04-07,Atlanta,Nashville
2010-04-07,Monterrey,Dallas
2010-04-07,Tijuana,Oakland
2010-04-06,Denver,Vancouver
2010-04-07,Merida,San Antonio
2010-04-07,Seattle,Calgary
2010-04-07,Charlotte,Birmingham
2010-04-07,Los Angeles,Phoenix
2010-04-08,Charlotte,Nashville
2010-04-08,Phoenix,Oakland
2010-04-08,Merida,Dallas
2010-04-08,Atlanta,Birmingham
2010-04-08,Vancouver,Calgary
2010-04-08,San Antonio,Monterrey
2010-04-08,Denver,Seattle
2010-04-08,Los Angeles,Tijuana
2010-04-09,Charlotte,Nashville
2010-04-09,Phoenix,Oakland
2010-04-09,Merida,Dallas
2010-04-09,Atlanta,Birmingham
2010-04-09,Vancouver,Calgary
2010-04-09,San Antonio,Monterrey
2010-04-09,Denver,Seattle
2010-04-09,Los Angeles,Tijuana
2010-04-10,Charlotte,Nashville
2010-04-10,Phoenix,Oakland
2010-04-10,Merida,Dallas
2010-04-10,Atlanta,Birmingham
2010-04-10,Vancouver,Calgary
2010-04-10,San Antonio,Monterrey
2010-04-10,Denver,Seattle
2010-04-10,Los Angeles,Tijuana
2010-04-11,Charlotte,Atlanta
2010-04-11,Calgary,Seattle
2010-04-11,Phoenix,Tijuana
2010-04-11,Merida,Monterrey
2010-04-11,Vancouver,Denver
2010-04-11,Los Angeles,Oakland
2010-04-11,San Antonio,Dallas
2010-04-11,Nashville,Birmingham
2010-04-12,Charlotte,Atlanta
2010-04-12,Calgary,Seattle
2010-04-12,Phoenix,Tijuana
2010-04-12,Merida,Monterrey
2010-04-12,Vancouver,Denver
2010-04-12,Los Angeles,Oakland
2010-04-12,San Antonio,Dallas
2010-04-12,Nashville,Birmingham
2010-04-13,Charlotte,Atlanta
2010-04-13,Calgary,Seattle
2010-04-13,Phoenix,Tijuana
2010-04-13,Merida,Monterrey
2010-04-13,Vancouver,Denver
2010-04-13,Los Angeles,Oakland
2010-04-13,San Antonio,Dallas
2010-04-13,Nashville,Birmingham
2010-04-14,Seattle,Vancouver
2010-04-14,Dallas,Monterrey
2010-04-14,Tijuana,Phoenix
2010-04-14,Denver,Calgary
2010-04-14,Birmingham,Nashville
2010-04-15,San Antonio,Merida
2010-04-15,Atlanta,Charlotte
2010-04-15,Oakland,Los Angeles
2010-04-15,Seattle,Vancouver
2010-04-15,Dallas,Monterrey
