Date,Home,Away
2010-04-01,Boston,Montreal
2010-04-01,New Haven,New York
2010-04-01,Chicago,St. Louis
2010-04-01,Akron,Indianapolis
2010-04-01,Philadelphia,"Washington, D.C."
2010-04-02,Toronto,Pittsburgh
2010-04-02,Winnipeg,St. Paul
2010-04-02,Columbus,Detroit
2010-04-02,Boston,Montreal
2010-04-02,New Haven,New York
2010-04-02,Chicago,St. Louis
2010-04-02,Akron,Indianapolis
2010-04-02,Philadelphia,"Washington, D.C."
2010-04-03,Toronto,Pittsburgh
2010-04-03,Winnipeg,St. Paul
2010-04-03,Columbus,Detroit
2010-04-03,Boston,Montreal
2010-04-03,New Haven,New York
2010-04-03,Chicago,St. Louis
2010-04-03,Akron,Indianapolis
2010-04-03,Philadelphia,"Washington, D.C."
2010-04-04,Toronto,Pittsburgh
2010-04-04,Winnipeg,St. Paul
2010-04-04,Columbus,Detroit
2010-04-05,Pittsburgh,Philadelphia
2010-04-04,Montreal,New Haven
2010-04-05,Winnipeg,Chicago
2010-04-05,Detroit,Akron
2010-04-05,Indianapolis,Columbus
2010-04-05,"Washington, D.C.",Toronto
2010-04-05,New York,Boston
2010-04-05,St. Louis,St. Paul
2010-04-06,Pittsburgh,Philadelphia
2010-04-05,Montreal,New Haven
2010-04-06,Winnipeg,Chicago
2010-04-06,Detroit,Akron
2010-04-06,Indianapolis,Columbus
2010-04-06,"Washington, D.C.",Toronto
2010-04-06,New York,Boston
2010-04-06,St. Louis,St. Paul
2010-04-07,Pittsburgh,Philadelphia
2010-04-06,Montreal,New Haven
2010-04-07,Winnipeg,Chicago
2010-04-07,Detroit,Akron
2010-04-07,Indianapolis,Columbus
2010-04-07,"Washington, D.C.",Toronto
2010-04-07,New York,Boston
2010-04-07,St. Louis,St. Paul
2010-04-08,Akron,Columbus
2010-04-08,St. Paul,Chicago
2010-04-08,St. Louis,Winnipeg
2010-04-08,Montreal,New York
2010-04-08,Pittsburgh,"Washington, D.C."
2010-04-08,Philadelphia,Toronto
2010-04-08,Boston,New Haven
2010-04-08,Indianapolis,Detroit
2010-04-09,Akron,Columbus
2010-04-09,St. Paul,Chicago
2010-04-09,St. Louis,Winnipeg
2010-04-09,Montreal,New York
2010-04-09,Pittsburgh,"Washington, D.C."
2010-04-09,Philadelphia,Toronto
2010-04-09,Boston,New Haven
2010-04-09,Indianapolis,Detroit
2010-04-10,Akron,Columbus
2010-04-10,St. Paul,Chicago
2010-04-10,St. Louis,Winnipeg
2010-04-10,Montreal,New York
2010-04-10,Pittsburgh,"Washington, D.C."
2010-04-10,Philadelphia,Toronto
2010-04-10,Boston,New Haven
2010-04-10,Indianapolis,Detroit
2010-04-11,Indianapolis,Akron
2010-04-11,Toronto,"Washington, D.C."
2010-04-11,Montreal,Boston
2010-04-11,Winnipeg,St. Louis
2010-04-11,New York,New Haven
2010-04-11,Philadelphia,Pittsburgh
2010-04-11,Detroit,Columbus
2010-04-11,Chicago,St. Paul
2010-04-12,Indianapolis,Akron
2010-04-12,Toronto,"Washington, D.C."
2010-04-12,Montreal,Boston
2010-04-12,Winnipeg,St. Louis
2010-04-12,New York,New Haven
2010-04-12,Philadelphia,Pittsburgh
2010-04-12,Detroit,Columbus
2010-04-12,Chicago,St. Paul
2010-04-13,Indianapolis,Akron
2010-04-13,Toronto,"Washington, D.C."
2010-04-13,Montreal,Boston
2010-04-13,Winnipeg,St. Louis
2010-04-13,New York,New Haven
2010-04-13,Philadelphia,Pittsburgh
2010-04-13,Detroit,Columbus
2010-04-13,Chicago,St. Paul
2010-04-14,Boston,New York
2010-04-14,Columbus,Indianapolis
2010-04-14,Akron,Detroit
