Date,Home,Away
2010-04-01,Montreal,Boston
2010-04-01,Columbus,Akron
2010-04-01,Toronto,Philadelphia
2010-04-01,St. Paul,Winnipeg
2010-04-01,Indianapolis,Detroit
2010-04-02,New York,New Haven
2010-04-02,"Washington, D.C.",Pittsburgh
2010-04-02,Chicago,St. Louis
2010-04-02,Montreal,Boston
2010-04-02,Columbus,Akron
2010-04-02,Toronto,Philadelphia
2010-04-02,St. Paul,Winnipeg
2010-04-02,Indianapolis,Detroit
2010-04-03,New York,New Haven
2010-04-03,"Washington, D.C.",Pittsburgh
2010-04-03,Chicago,St. Louis
2010-04-03,Montreal,Boston
2010-04-03,Columbus,Akron
2010-04-03,Toronto,Philadelphia
2010-04-03,St. Paul,Winnipeg
2010-04-03,Indianapolis,Detroit
2010-04-04,New York,New Haven
2010-04-04,"Washington, D.C.",Pittsburgh
2010-04-04,Chicago,St. Louis
2010-04-05,Philadelphia,"Washington, D.C."
2010-04-04,Akron,Indianapolis
2010-04-05,St. Louis,Chicago
2010-04-05,New Haven,New York
2010-04-05,Toronto,Pittsburgh
2010-04-05,Detroit,Columbus
2010-04-05,Boston,Montreal
2010-04-05,Winnipeg,St. Paul
2010-04-06,Philadelphia,"Washington, D.C."
2010-04-05,Akron,Indianapolis
2010-04-06,St. Louis,Chicago
2010-04-06,New Haven,New York
2010-04-06,Toronto,Pittsburgh
2010-04-06,Detroit,Columbus
2010-04-06,Boston,Montreal
2010-04-06,Winnipeg,St. Paul
2010-04-07,Philadelphia,"Washington, D.C."
2010-04-06,Akron,Indianapolis
2010-04-07,St. Louis,Chicago
2010-04-07,New Haven,New York
2010-04-07,Toronto,Pittsburgh
2010-04-07,Detroit,Columbus
2010-04-07,Boston,Montreal
2010-04-07,Winnipeg,St. Paul
2010-04-08,New York,Boston
2010-04-08,Winnipeg,Chicago
2010-04-08,Detroit,Akron
2010-04-08,Pittsburgh,Toronto
2010-04-08,New Haven,Montreal
2010-04-08,St. Paul,St. Louis
2010-04-08,Indianapolis,Columbus
2010-04-08,"Washington, D.C.",Philadelphia
2010-04-09,New York,Boston
2010-04-09,Winnipeg,Chicago
2010-04-09,Detroit,Akron
2010-04-09,Pittsburgh,Toronto
2010-04-09,New Haven,Montreal
2010-04-09,St. Paul,St. Louis
2010-04-09,Indianapolis,Columbus
2010-04-09,"Washington, D.C.",Philadelphia
2010-04-10,New York,Boston
2010-04-10,Winnipeg,Chicago
2010-04-10,Detroit,Akron
2010-04-10,Pittsburgh,Toronto
2010-04-10,New Haven,Montreal
2010-04-10,St. Paul,St. Louis
2010-04-10,Indianapolis,Columbus
2010-04-10,"Washington, D.C.",Philadelphia
2010-04-11,Boston,New York
2010-04-11,Winnipeg,St. Louis
2010-04-11,Akron,Columbus
2010-04-11,Montreal,New Haven
2010-04-11,Chicago,St. Paul
2010-04-11,Pittsburgh,"Washington, D.C."
2010-04-11,Detroit,Indianapolis
2010-04-11,Philadelphia,Toronto
2010-04-12,Boston,New York
2010-04-12,Winnipeg,St. Louis
2010-04-12,Akron,Columbus
2010-04-12,Montreal,New Haven
2010-04-12,Chicago,St. Paul
2010-04-12,Pittsburgh,"Washington, D.C."
2010-04-12,Detroit,Indianapolis
2010-04-12,Philadelphia,Toronto
2010-04-13,Boston,New York
2010-04-13,Winnipeg,St. Louis
2010-04-13,Akron,Columbus
2010-04-13,Montreal,New Haven
2010-04-13,Chicago,St. Paul
2010-04-13,Pittsburgh,"Washington, D.C."
2010-04-13,Detroit,Indianapolis
2010-04-13,Philadelphia,Toronto
2010-04-14,Columbus,Indianapolis
2010-04-14,Toronto,"Washington, D.C."
2010-04-14,Philadelphia,Pittsburgh
2010-04-14,Chicago,Winnipeg
2010-04-14,Montreal,New York
2010-04-15,New Haven,Boston
2010-04-15,Akron,Detroit
2010-04-15,St. Louis,St. Paul
2010-04-15,Columbus,Indianapolis
2010-04-15,Toronto,"Washington, D.C."
2010-04-15,Philadelphia,Pittsburgh
2010-04-15,Chicago,Winnipeg
2010-04-15,Montreal,New York
2010-04-16,New Haven,Boston
2010-04-16,Akron,Detroit
2010-04-16,St. Louis,St. Paul
2010-04-16,Columbus,Indianapolis
2010-04-16,Toronto,"Washington, D.C."
2010-04-16,Philadelphia,Pittsburgh
2010-04-16,Chicago,Winnipeg
2010-04-16,Montreal,New York
2010-04-17,New Haven,Boston
2010-04-17,Akron,Detroit
2010-04-17,St. Louis,St. Paul
2010-04-18,St. Louis,Winnipeg
2010-04-18,Columbus,Detroit
2010-04-18,St. Paul,Chicago
2010-04-18,Boston,New Haven
2010-04-17,"Washington, D.C.",Toronto
2010-04-18,Indianapolis,Akron
2010-04-18,New York,Montreal
2010-04-18,Pittsburgh,Philadelphia
2010-04-19,St. Louis,Winnipeg
2010-04-19,Columbus,Detroit
2010-04-19,St. Paul,Chicago
2010-04-19,Boston,New Haven
2010-04-18,"Washington, D.C.",Toronto
2010-04-19,Indianapolis,Akron
2010-04-19,New York,Montreal
2010-04-19,Pittsburgh,Philadelphia
2010-04-20,St. Louis,Winnipeg
2010-04-20,Columbus,Detroit
2010-04-20,St. Paul,Chicago
2010-04-20,Boston,New Haven
2010-04-19,"Washington, D.C.",Toronto
2010-04-20,Indianapolis,Akron
2010-04-20,New York,Montreal
2010-04-20,Pittsburgh,Philadelphia
2010-04-21,Akron,Boston
2010-04-21,Chicago,"Washington, D.C."
2010-04-21,Columbus,New Haven
2010-04-21,Toronto,Winnipeg
2010-04-21,Montreal,Detroit
2010-04-21,Pittsburgh,St. Paul
2010-04-21,New York,Indianapolis
2010-04-21,Philadelphia,St. Louis
2010-04-22,Akron,Boston
2010-04-22,Chicago,"Washington, D.C."
2010-04-22,Columbus,New Haven
2010-04-22,Toronto,Winnipeg
2010-04-22,Montreal,Detroit
