Date,Home,Away
2010-04-01,St. Paul,Chicago
2010-04-01,Akron,Detroit
2010-04-01,Philadelphia,Pittsburgh
2010-04-01,Montreal,New York
2010-04-01,"Washington, D.C.",Toronto
2010-04-02,Indianapolis,Columbus
2010-04-02,Boston,New Haven
2010-04-02,Winnipeg,St. Louis
2010-04-02,St. Paul,Chicago
2010-04-02,Akron,Detroit
2010-04-02,Philadelphia,Pittsburgh
2010-04-02,Montreal,New York
2010-04-02,"Washington, D.C.",Toronto
2010-04-03,Indianapolis,Columbus
2010-04-03,Boston,New Haven
2010-04-03,Winnipeg,St. Louis
2010-04-03,St. Paul,Chicago
2010-04-03,Akron,Detroit
2010-04-03,Philadelphia,Pittsburgh
2010-04-03,Montreal,New York
2010-04-03,"Washington, D.C.",Toronto
2010-04-04,Indianapolis,Columbus
2010-04-04,Boston,New Haven
2010-04-04,Winnipeg,St. Louis
2010-04-05,Boston,Montreal
2010-04-05,Columbus,Indianapolis
2010-04-05,St. Louis,St. Paul
2010-04-04,"Washington, D.C.",Pittsburgh
2010-04-05,Chicago,Winnipeg
2010-04-05,New York,New Haven
2010-04-05,Toronto,Philadelphia
2010-04-05,Detroit,Akron
2010-04-06,Boston,Montreal
2010-04-06,Columbus,Indianapolis
2010-04-06,St. Louis,St. Paul
2010-04-05,"Washington, D.C.",Pittsburgh
2010-04-06,Chicago,Winnipeg
2010-04-06,New York,New Haven
2010-04-06,Toronto,Philadelphia
2010-04-06,Detroit,Akron
2010-04-07,Boston,Montreal
2010-04-07,Columbus,Indianapolis
2010-04-07,St. Louis,St. Paul
2010-04-06,"Washington, D.C.",Pittsburgh
2010-04-07,Chicago,Winnipeg
2010-04-07,New York,New Haven
2010-04-07,Toronto,Philadelphia
2010-04-07,Detroit,Akron
2010-04-08,New Haven,Montreal
2010-04-08,Chicago,St. Louis
2010-04-08,Detroit,Indianapolis
2010-04-08,Toronto,Pittsburgh
2010-04-08,Akron,Columbus
2010-04-08,New York,Boston
2010-04-08,"Washington, D.C.",Philadelphia
2010-04-08,Winnipeg,St. Paul
2010-04-09,New Haven,Montreal
2010-04-09,Chicago,St. Louis
2010-04-09,Detroit,Indianapolis
2010-04-09,Toronto,Pittsburgh
2010-04-09,Akron,Columbus
2010-04-09,New York,Boston
2010-04-09,"Washington, D.C.",Philadelphia
2010-04-09,Winnipeg,St. Paul
2010-04-10,New Haven,Montreal
2010-04-10,Chicago,St. Louis
2010-04-10,Detroit,Indianapolis
2010-04-10,Toronto,Pittsburgh
2010-04-10,Akron,Columbus
2010-04-10,New York,Boston
2010-04-10,"Washington, D.C.",Philadelphia
2010-04-10,Winnipeg,St. Paul
2010-04-11,New York,Montreal
2010-04-11,Philadelphia,Toronto
2010-04-11,St. Paul,St. Louis
2010-04-11,Indianapolis,Akron
2010-04-11,Columbus,Detroit
2010-04-11,New Haven,Boston
2010-04-11,Pittsburgh,"Washington, D.C."
2010-04-11,Winnipeg,Chicago
2010-04-12,New York,Montreal
2010-04-12,Philadelphia,Toronto
2010-04-12,St. Paul,St. Louis
2010-04-12,Indianapolis,Akron
2010-04-12,Columbus,Detroit
2010-04-12,New Haven,Boston
2010-04-12,Pittsburgh,"Washington, D.C."
2010-04-12,Winnipeg,Chicago
2010-04-13,New York,Montreal
2010-04-13,Philadelphia,Toronto
2010-04-13,St. Paul,St. Louis
2010-04-13,Indianapolis,Akron
2010-04-13,Columbus,Detroit
2010-04-13,New Haven,Boston
2010-04-13,Pittsburgh,"Washington, D.C."
2010-04-13,Winnipeg,Chicago
2010-04-14,Montreal,Boston
2010-04-14,Pittsburgh,Toronto
2010-04-14,Philadelphia,"Washington, D.C."
2010-04-14,St. Paul,Winnipeg
2010-04-14,Detroit,Columbus
2010-04-15,St. Louis,Chicago
2010-04-15,New Haven,New York
2010-04-15,Akron,Indianapolis
2010-04-15,Montreal,Boston
2010-04-15,Pittsburgh,Toronto
2010-04-15,Philadelphia,"Washington, D.C."
