Date,Home,Away
2010-04-01,Pittsburgh,"Washington, D.C."
2010-04-01,Winnipeg,St. Louis
2010-04-01,Montreal,New Haven
2010-04-01,Columbus,Akron
2010-04-01,Chicago,St. Paul
2010-04-02,Indianapolis,Detroit
2010-04-02,Philadelphia,Toronto
2010-04-02,New York,Boston
2010-04-02,Pittsburgh,"Washington, D.C."
2010-04-02,Winnipeg,St. Louis
2010-04-02,Montreal,New Haven
2010-04-02,Columbus,Akron
2010-04-02,Chicago,St. Paul
2010-04-03,Indianapolis,Detroit
2010-04-03,Philadelphia,Toronto
2010-04-03,New York,Boston
2010-04-03,Pittsburgh,"Washington, D.C."
2010-04-03,Winnipeg,St. Louis
2010-04-03,Montreal,New Haven
2010-04-03,Columbus,Akron
2010-04-03,Chicago,St. Paul
2010-04-04,Indianapolis,Detroit
2010-04-04,Philadelphia,Toronto
2010-04-04,New York,Boston
2010-04-04,New Haven,Montreal
2010-04-04,Winnipeg,St. Paul
2010-04-05,Detroit,Columbus
2010-04-05,Pittsburgh,Toronto
2010-04-04,St. Louis,Chicago
2010-04-05,"Washington, D.C.",Philadelphia
2010-04-05,Akron,Indianapolis
2010-04-05,Boston,New York
2010-04-05,New Haven,Montreal
2010-04-05,Winnipeg,St. Paul
2010-04-06,Detroit,Columbus
2010-04-06,Pittsburgh,Toronto
2010-04-05,St. Louis,Chicago
2010-04-06,"Washington, D.C.",Philadelphia
2010-04-06,Akron,Indianapolis
2010-04-06,Boston,New York
2010-04-06,New Haven,Montreal
2010-04-06,Winnipeg,St. Paul
2010-04-07,Detroit,Columbus
2010-04-07,Pittsburgh,Toronto
2010-04-06,St. Louis,Chicago
2010-04-07,"Washington, D.C.",Philadelphia
2010-04-07,Akron,Indianapolis
2010-04-07,Boston,New York
2010-04-08,Montreal,Boston
2010-04-08,Columbus,Detroit
2010-04-08,New York,New Haven
2010-04-08,Toronto,"Washington, D.C."
2010-04-07,St. Louis,St. Paul
2010-04-08,Pittsburgh,Philadelphia
2010-04-08,Indianapolis,Akron
2010-04-08,Winnipeg,Chicago
2010-04-09,Montreal,Boston
2010-04-09,Columbus,Detroit
2010-04-09,New York,New Haven
2010-04-09,Toronto,"Washington, D.C."
2010-04-08,St. Louis,St. Paul
2010-04-09,Pittsburgh,Philadelphia
2010-04-09,Indianapolis,Akron
2010-04-09,Winnipeg,Chicago
2010-04-10,Montreal,Boston
2010-04-10,Columbus,Detroit
2010-04-10,New York,New Haven
2010-04-10,Toronto,"Washington, D.C."
2010-04-09,St. Louis,St. Paul
2010-04-10,Pittsburgh,Philadelphia
2010-04-10,Indianapolis,Akron
2010-04-10,Winnipeg,Chicago
2010-04-11,Akron,Columbus
2010-04-11,St. Louis,Winnipeg
2010-04-11,"Washington, D.C.",Pittsburgh
2010-04-11,Boston,New Haven
2010-04-11,New York,Montreal
2010-04-11,Detroit,Indianapolis
2010-04-11,St. Paul,Chicago
2010-04-11,Toronto,Philadelphia
2010-04-12,Akron,Columbus
2010-04-12,St. Louis,Winnipeg
2010-04-12,"Washington, D.C.",Pittsburgh
2010-04-12,Boston,New Haven
2010-04-12,New York,Montreal
2010-04-12,Detroit,Indianapolis
2010-04-12,St. Paul,Chicago
2010-04-12,Toronto,Philadelphia
2010-04-13,Akron,Columbus
2010-04-13,St. Louis,Winnipeg
2010-04-13,"Washington, D.C.",Pittsburgh
2010-04-13,Boston,New Haven
2010-04-13,New York,Montreal
2010-04-13,Detroit,Indianapolis
2010-04-13,St. Paul,Chicago
2010-04-13,Toronto,Philadelphia
2010-04-14,Chicago,Winnipeg
2010-04-14,Montreal,New York
2010-04-14,Indianapolis,Columbus
2010-04-14,Toronto,Pittsburgh
2010-04-14,Akron,Detroit
2010-04-15,Philadelphia,"Washington, D.C."
2010-04-15,New Haven,Boston
2010-04-15,St. Paul,St. Louis
2010-04-15,Chicago,Winnipeg
2010-04-15,Montreal,New York
2010-04-15,Indianapolis,Columbus
2010-04-15,Toronto,Pittsburgh
2010-04-15,Akron,Detroit
2010-04-16,Philadelphia,"Washington, D.C."
2010-04-16,New Haven,Boston
2010-04-16,St. Paul,St. Louis
2010-04-16,Chicago,Winnipeg
2010-04-16,Montreal,New York
2010-04-16,Indianapolis,Columbus
2010-04-16,Toronto,Pittsburgh
