Date,Home,Away
2010-04-01,Detroit,Akron
2010-04-01,Boston,New York
2010-04-01,New Haven,Montreal
2010-04-01,Pittsburgh,Philadelphia
2010-04-01,Indianapolis,Columbus
2010-04-02,St. Louis,St. Paul
2010-04-02,"Washington, D.C.",Toronto
2010-04-02,Winnipeg,Chicago
2010-04-02,Detroit,Akron
2010-04-02,Boston,New York
2010-04-02,New Haven,Montreal
2010-04-02,Pittsburgh,Philadelphia
2010-04-02,Indianapolis,Columbus
2010-04-03,St. Louis,St. Paul
2010-04-03,"Washington, D.C.",Toronto
2010-04-03,Winnipeg,Chicago
2010-04-03,Detroit,Akron
2010-04-03,Boston,New York
2010-04-03,New Haven,Montreal
2010-04-03,Pittsburgh,Philadelphia
2010-04-03,Indianapolis,Columbus
2010-04-04,St. Louis,St. Paul
2010-04-04,"Washington, D.C.",Toronto
2010-04-04,Winnipeg,Chicago
2010-04-04,Philadelphia,Pittsburgh
2010-04-04,Akron,Columbus
2010-04-04,Indianapolis,Detroit
2010-04-04,New York,New Haven
2010-04-05,Chicago,St. Paul
2010-04-05,Toronto,"Washington, D.C."
2010-04-05,Winnipeg,St. Louis
2010-04-05,Montreal,Boston
2010-04-05,Philadelphia,Pittsburgh
2010-04-05,Akron,Columbus
2010-04-05,Indianapolis,Detroit
2010-04-05,New York,New Haven
2010-04-06,Chicago,St. Paul
2010-04-06,Toronto,"Washington, D.C."
2010-04-06,Winnipeg,St. Louis
2010-04-06,Montreal,Boston
2010-04-06,Philadelphia,Pittsburgh
2010-04-06,Akron,Columbus
2010-04-06,Indianapolis,Detroit
2010-04-06,New York,New Haven
2010-04-07,Chicago,St. Paul
2010-04-07,Toronto,"Washington, D.C."
2010-04-07,Winnipeg,St. Louis
2010-04-07,Montreal,Boston
2010-04-08,Montreal,New Haven
2010-04-08,Winnipeg,St. Paul
2010-04-07,Akron,Indianapolis
2010-04-08,Philadelphia,"Washington, D.C."
2010-04-08,Toronto,Pittsburgh
2010-04-08,St. Louis,Chicago
2010-04-08,New York,Boston
2010-04-08,Columbus,Detroit
