Date,Home,Away
2010-04-01,St. Paul,St. Louis
2010-04-01,"Washington, D.C.",Pittsburgh
2010-04-01,Winnipeg,Chicago
2010-04-01,New York,New Haven
2010-04-01,Philadelphia,Toronto
2010-04-02,Columbus,Akron
2010-04-02,Indianapolis,Detroit
2010-04-02,Montreal,Boston
2010-04-02,St. Paul,St. Louis
2010-04-02,"Washington, D.C.",Pittsburgh
2010-04-02,Winnipeg,Chicago
2010-04-02,New York,New Haven
2010-04-02,Philadelphia,Toronto
2010-04-03,Columbus,Akron
2010-04-03,Indianapolis,Detroit
2010-04-03,Montreal,Boston
2010-04-03,St. Paul,St. Louis
2010-04-03,"Washington, D.C.",Pittsburgh
2010-04-03,Winnipeg,Chicago
2010-04-03,New York,New Haven
2010-04-03,Philadelphia,Toronto
2010-04-04,Columbus,Akron
2010-04-04,Indianapolis,Detroit
2010-04-04,Montreal,Boston
2010-04-04,St. Louis,Chicago
2010-04-05,Indianapolis,Akron
2010-04-05,New Haven,Montreal
2010-04-04,Toronto,"Washington, D.C."
2010-04-05,Columbus,Detroit
2010-04-05,Philadelphia,Pittsburgh
2010-04-05,Winnipeg,St. Paul
2010-04-05,Boston,New York
2010-04-05,St. Louis,Chicago
2010-04-06,Indianapolis,Akron
2010-04-06,New Haven,Montreal
2010-04-05,Toronto,"Washington, D.C."
2010-04-06,Columbus,Detroit
2010-04-06,Philadelphia,Pittsburgh
2010-04-06,Winnipeg,St. Paul
2010-04-06,Boston,New York
2010-04-06,St. Louis,Chicago
2010-04-07,Indianapolis,Akron
2010-04-07,New Haven,Montreal
2010-04-06,Toronto,"Washington, D.C."
2010-04-07,Columbus,Detroit
2010-04-07,Philadelphia,Pittsburgh
2010-04-07,Winnipeg,St. Paul
2010-04-07,Boston,New York
2010-04-08,Indianapolis,Columbus
2010-04-08,Detroit,Akron
2010-04-08,Philadelphia,"Washington, D.C."
2010-04-08,New York,Boston
2010-04-08,Montreal,New Haven
2010-04-08,Toronto,Pittsburgh
2010-04-08,Winnipeg,St. Louis
2010-04-08,Chicago,St. Paul
2010-04-09,Indianapolis,Columbus
2010-04-09,Detroit,Akron
2010-04-09,Philadelphia,"Washington, D.C."
2010-04-09,New York,Boston
2010-04-09,Montreal,New Haven
2010-04-09,Toronto,Pittsburgh
2010-04-09,Winnipeg,St. Louis
2010-04-09,Chicago,St. Paul
2010-04-10,Indianapolis,Columbus
2010-04-10,Detroit,Akron
2010-04-10,Philadelphia,"Washington, D.C."
2010-04-10,New York,Boston
2010-04-10,Montreal,New Haven
2010-04-10,Toronto,Pittsburgh
2010-04-10,Winnipeg,St. Louis
2010-04-10,Chicago,St. Paul
2010-04-11,Chicago,St. Louis
2010-04-11,Akron,Columbus
2010-04-11,New Haven,New York
2010-04-11,"Washington, D.C.",Philadelphia
2010-04-11,St. Paul,Winnipeg
2010-04-11,Pittsburgh,Toronto
2010-04-11,Boston,Montreal
2010-04-11,Detroit,Indianapolis
2010-04-12,Chicago,St. Louis
2010-04-12,Akron,Columbus
2010-04-12,New Haven,New York
2010-04-12,"Washington, D.C.",Philadelphia
2010-04-12,St. Paul,Winnipeg
2010-04-12,Pittsburgh,Toronto
2010-04-12,Boston,Montreal
2010-04-12,Detroit,Indianapolis
2010-04-13,Chicago,St. Louis
2010-04-13,Akron,Columbus
2010-04-13,New Haven,New York
2010-04-13,"Washington, D.C.",Philadelphia
2010-04-13,St. Paul,Winnipeg
2010-04-13,Pittsburgh,Toronto
2010-04-13,Boston,Montreal
2010-04-13,Detroit,Indianapolis
2010-04-14,Chicago,Winnipeg
2010-04-14,Akron,Indianapolis
2010-04-14,Toronto,Philadelphia
2010-04-14,Pittsburgh,"Washington, D.C."
2010-04-14,St. Louis,St. Paul
2010-04-15,Boston,New Haven
2010-04-15,Montreal,New York
2010-04-15,Detroit,Columbus
2010-04-15,Chicago,Winnipeg
2010-04-15,Akron,Indianapolis
2010-04-15,Toronto,Philadelphia
2010-04-15,Pittsburgh,"Washington, D.C."
2010-04-15,St. Louis,St. Paul
2010-04-16,Boston,New Haven
2010-04-16,Montreal,New York
2010-04-16,Detroit,Columbus
2010-04-16,Chicago,Winnipeg
2010-04-16,Akron,Indianapolis
2010-04-16,Toronto,Philadelphia
2010-04-16,Pittsburgh,"Washington, D.C."
2010-04-16,St. Louis,St. Paul
2010-04-17,Boston,New Haven
2010-04-17,Montreal,New York
2010-04-17,Detroit,Columbus
2010-04-17,St. Louis,Winnipeg
2010-04-17,Pittsburgh,Philadelphia
2010-04-17,"Washington, D.C.",Toronto
2010-04-18,New Haven,Boston
2010-04-18,New York,Montreal
2010-04-18,Columbus,Indianapolis
2010-04-18,Akron,Detroit
2010-04-18,St. Paul,Chicago
2010-04-18,St. Louis,Winnipeg
2010-04-18,Pittsburgh,Philadelphia
2010-04-18,"Washington, D.C.",Toronto
2010-04-19,New Haven,Boston
2010-04-19,New York,Montreal
2010-04-19,Columbus,Indianapolis
2010-04-19,Akron,Detroit
2010-04-19,St. Paul,Chicago
2010-04-19,St. Louis,Winnipeg
2010-04-19,Pittsburgh,Philadelphia
2010-04-19,"Washington, D.C.",Toronto
2010-04-20,New Haven,Boston
2010-04-20,New York,Montreal
2010-04-20,Columbus,Indianapolis
2010-04-20,Akron,Detroit
2010-04-20,St. Paul,Chicago
2010-04-21,Indianapolis,New Haven
2010-04-20,Toronto,St. Louis
2010-04-21,Montreal,Akron
2010-04-21,Boston,Columbus
2010-04-21,Philadelphia,Chicago
2010-04-21,"Washington, D.C.",Winnipeg
2010-04-21,Detroit,New York
2010-04-21,Pittsburgh,St. Paul
2010-04-22,Indianapolis,New Haven
2010-04-21,Toronto,St. Louis
2010-04-22,Montreal,Akron
2010-04-22,Boston,Columbus
2010-04-22,Philadelphia,Chicago
2010-04-22,"Washington, D.C.",Winnipeg
2010-04-22,Detroit,New York
2010-04-22,Pittsburgh,St. Paul
2010-04-23,Indianapolis,New Haven
2010-04-22,Toronto,St. Louis
2010-04-23,Montreal,Akron
2010-04-23,Boston,Columbus
2010-04-23,Philadelphia,Chicago
2010-04-23,"Washington, D.C.",Winnipeg
2010-04-23,Detroit,New York
2010-04-23,Pittsburgh,St. Paul
2010-04-24,St. Louis,Philadelphia
2010-04-24,"Washington, D.C.",Chicago
2010-04-24,New York,Columbus
2010-04-24,Pittsburgh,Winnipeg
2010-04-24,New Haven,Akron
2010-04-25,Detroit,Boston
2010-04-25,St. Paul,Toronto
2010-04-25,Montreal,Indianapolis
2010-04-25,St. Louis,Philadelphia
2010-04-25,"Washington, D.C.",Chicago
2010-04-25,New York,Columbus
