Date,Home,Away
2010-04-01,Chicago,Winnipeg
2010-04-01,Montreal,Boston
2010-04-01,Philadelphia,Toronto
2010-04-01,New Haven,New York
2010-04-01,Columbus,Detroit
2010-04-02,"Washington, D.C.",Pittsburgh
2010-04-02,Indianapolis,Akron
2010-04-02,St. Paul,St. Louis
2010-04-02,Chicago,Winnipeg
2010-04-02,Montreal,Boston
2010-04-02,Philadelphia,Toronto
2010-04-02,New Haven,New York
2010-04-02,Columbus,Detroit
2010-04-03,"Washington, D.C.",Pittsburgh
2010-04-03,Indianapolis,Akron
2010-04-03,St. Paul,St. Louis
2010-04-03,Chicago,Winnipeg
2010-04-03,Montreal,Boston
2010-04-03,Philadelphia,Toronto
2010-04-03,New Haven,New York
2010-04-03,Columbus,Detroit
2010-04-04,"Washington, D.C.",Pittsburgh
2010-04-04,Indianapolis,Akron
2010-04-04,St. Paul,St. Louis
2010-04-05,Winnipeg,St. Louis
2010-04-04,New York,New Haven
2010-04-05,Columbus,Indianapolis
2010-04-05,Pittsburgh,"Washington, D.C."
2010-04-04,Boston,Montreal
2010-04-05,St. Paul,Chicago
2010-04-05,Detroit,Akron
2010-04-05,Toronto,Philadelphia
2010-04-06,Winnipeg,St. Louis
2010-04-05,New York,New Haven
2010-04-06,Columbus,Indianapolis
2010-04-06,Pittsburgh,"Washington, D.C."
2010-04-05,Boston,Montreal
2010-04-06,St. Paul,Chicago
2010-04-06,Detroit,Akron
2010-04-06,Toronto,Philadelphia
2010-04-07,Winnipeg,St. Louis
2010-04-06,New York,New Haven
2010-04-07,Columbus,Indianapolis
2010-04-07,Pittsburgh,"Washington, D.C."
2010-04-06,Boston,Montreal
2010-04-07,St. Paul,Chicago
2010-04-07,Detroit,Akron
2010-04-07,Toronto,Philadelphia
2010-04-08,Akron,Detroit
2010-04-07,Boston,New York
2010-04-08,"Washington, D.C.",Toronto
2010-04-08,Pittsburgh,Philadelphia
2010-04-08,St. Louis,Chicago
2010-04-08,Winnipeg,St. Paul
2010-04-08,New Haven,Montreal
2010-04-08,Indianapolis,Columbus
2010-04-09,Akron,Detroit
2010-04-08,Boston,New York
2010-04-09,"Washington, D.C.",Toronto
2010-04-09,Pittsburgh,Philadelphia
2010-04-09,St. Louis,Chicago
2010-04-09,Winnipeg,St. Paul
2010-04-09,New Haven,Montreal
2010-04-09,Indianapolis,Columbus
2010-04-10,Akron,Detroit
2010-04-09,Boston,New York
2010-04-10,"Washington, D.C.",Toronto
2010-04-10,Pittsburgh,Philadelphia
2010-04-10,St. Louis,Chicago
2010-04-10,Winnipeg,St. Paul
2010-04-10,New Haven,Montreal
2010-04-10,Indianapolis,Columbus
2010-04-11,Toronto,Pittsburgh
2010-04-11,Winnipeg,Chicago
2010-04-11,Philadelphia,"Washington, D.C."
2010-04-11,Detroit,Indianapolis
2010-04-10,New York,Boston
2010-04-11,Columbus,Akron
2010-04-11,Montreal,New Haven
2010-04-11,St. Louis,St. Paul
2010-04-12,Toronto,Pittsburgh
2010-04-12,Winnipeg,Chicago
2010-04-12,Philadelphia,"Washington, D.C."
2010-04-12,Detroit,Indianapolis
2010-04-11,New York,Boston
