Date,Home,Away
2010-04-01,St. Louis,Winnipeg
2010-04-01,Boston,Montreal
2010-04-01,Philadelphia,"Washington, D.C."
2010-04-01,Columbus,Indianapolis
2010-04-01,New York,New Haven
2010-04-02,Toronto,Pittsburgh
2010-04-02,Akron,Detroit
2010-04-02,St. Paul,Chicago
2010-04-02,St. Louis,Winnipeg
2010-04-02,Boston,Montreal
2010-04-02,Philadelphia,"Washington, D.C."
2010-04-02,Columbus,Indianapolis
2010-04-02,New York,New Haven
2010-04-03,Toronto,Pittsburgh
2010-04-03,Akron,Detroit
2010-04-03,St. Paul,Chicago
2010-04-03,St. Louis,Winnipeg
2010-04-03,Boston,Montreal
2010-04-03,Philadelphia,"Washington, D.C."
2010-04-03,Columbus,Indianapolis
2010-04-03,New York,New Haven
2010-04-04,Toronto,Pittsburgh
2010-04-04,Akron,Detroit
2010-04-04,St. Paul,Chicago
2010-04-05,Pittsburgh,"Washington, D.C."
2010-04-04,Boston,New Haven
2010-04-05,Detroit,Indianapolis
2010-04-05,Toronto,Philadelphia
2010-04-05,St. Paul,St. Louis
2010-04-05,Winnipeg,Chicago
2010-04-05,Montreal,New York
2010-04-05,Columbus,Akron
2010-04-06,Pittsburgh,"Washington, D.C."
2010-04-05,Boston,New Haven
2010-04-06,Detroit,Indianapolis
2010-04-06,Toronto,Philadelphia
2010-04-06,St. Paul,St. Louis
2010-04-06,Winnipeg,Chicago
2010-04-06,Montreal,New York
2010-04-06,Columbus,Akron
2010-04-07,Pittsburgh,"Washington, D.C."
2010-04-06,Boston,New Haven
2010-04-07,Detroit,Indianapolis
2010-04-07,Toronto,Philadelphia
2010-04-07,St. Paul,St. Louis
2010-04-07,Winnipeg,Chicago
2010-04-07,Montreal,New York
2010-04-07,Columbus,Akron
2010-04-08,New Haven,New York
2010-04-08,St. Louis,St. Paul
2010-04-08,Detroit,Columbus
2010-04-08,"Washington, D.C.",Philadelphia
2010-04-08,Chicago,Winnipeg
2010-04-08,Montreal,Boston
2010-04-08,Pittsburgh,Toronto
2010-04-08,Akron,Indianapolis
2010-04-09,New Haven,New York
2010-04-09,St. Louis,St. Paul
2010-04-09,Detroit,Columbus
2010-04-09,"Washington, D.C.",Philadelphia
2010-04-09,Chicago,Winnipeg
2010-04-09,Montreal,Boston
2010-04-09,Pittsburgh,Toronto
2010-04-09,Akron,Indianapolis
2010-04-10,New Haven,New York
2010-04-10,St. Louis,St. Paul
2010-04-10,Detroit,Columbus
2010-04-10,"Washington, D.C.",Philadelphia
2010-04-10,Chicago,Winnipeg
2010-04-10,Montreal,Boston
2010-04-10,Pittsburgh,Toronto
2010-04-10,Akron,Indianapolis
2010-04-11,Philadelphia,Pittsburgh
2010-04-11,Chicago,St. Paul
2010-04-11,Boston,New York
2010-04-11,Indianapolis,Akron
2010-04-11,New Haven,Montreal
2010-04-11,"Washington, D.C.",Toronto
2010-04-11,Columbus,Detroit
2010-04-11,Winnipeg,St. Louis
2010-04-12,Philadelphia,Pittsburgh
2010-04-12,Chicago,St. Paul
2010-04-12,Boston,New York
2010-04-12,Indianapolis,Akron
2010-04-12,New Haven,Montreal
2010-04-12,"Washington, D.C.",Toronto
2010-04-12,Columbus,Detroit
2010-04-12,Winnipeg,St. Louis
2010-04-13,Philadelphia,Pittsburgh
2010-04-13,Chicago,St. Paul
2010-04-13,Boston,New York
2010-04-13,Indianapolis,Akron
2010-04-13,New Haven,Montreal
2010-04-13,"Washington, D.C.",Toronto
