Date,Home,Away
2010-04-01,Pittsburgh,Toronto
2010-04-01,Indianapolis,Akron
2010-04-01,Chicago,Winnipeg
2010-04-01,Boston,New York
2010-04-01,St. Louis,St. Paul
2010-04-02,Columbus,Detroit
2010-04-02,"Washington, D.C.",Philadelphia
2010-04-02,New Haven,Montreal
2010-04-02,Pittsburgh,Toronto
2010-04-02,Indianapolis,Akron
2010-04-02,Chicago,Winnipeg
2010-04-02,Boston,New York
2010-04-02,St. Louis,St. Paul
2010-04-03,Columbus,Detroit
2010-04-03,"Washington, D.C.",Philadelphia
2010-04-03,New Haven,Montreal
2010-04-03,Pittsburgh,Toronto
2010-04-03,Indianapolis,Akron
2010-04-03,Chicago,Winnipeg
2010-04-03,Boston,New York
2010-04-03,St. Louis,St. Paul
2010-04-04,Columbus,Detroit
2010-04-04,"Washington, D.C.",Philadelphia
2010-04-04,New Haven,Montreal
2010-04-05,Montreal,New York
2010-04-05,Akron,Columbus
2010-04-05,Detroit,Indianapolis
2010-04-05,Toronto,"Washington, D.C."
2010-04-05,Pittsburgh,Philadelphia
2010-04-05,Winnipeg,Chicago
2010-04-05,New Haven,Boston
2010-04-05,St. Paul,St. Louis
2010-04-06,Montreal,New York
2010-04-06,Akron,Columbus
2010-04-06,Detroit,Indianapolis
2010-04-06,Toronto,"Washington, D.C."
2010-04-06,Pittsburgh,Philadelphia
2010-04-06,Winnipeg,Chicago
2010-04-06,New Haven,Boston
2010-04-06,St. Paul,St. Louis
2010-04-07,Montreal,New York
2010-04-07,Akron,Columbus
2010-04-07,Detroit,Indianapolis
2010-04-07,Toronto,"Washington, D.C."
2010-04-07,Pittsburgh,Philadelphia
2010-04-07,Winnipeg,Chicago
2010-04-07,New Haven,Boston
2010-04-07,St. Paul,St. Louis
2010-04-08,"Washington, D.C.",Pittsburgh
2010-04-08,St. Louis,Winnipeg
2010-04-08,Boston,New Haven
2010-04-08,St. Paul,Chicago
2010-04-08,Columbus,Indianapolis
