Date,Home,Away
2010-04-01,Atlanta,Charlotte
2010-04-01,Denver,Seattle
2010-04-01,Dallas,San Antonio
2010-04-01,Tijuana,Oakland
2010-04-01,Calgary,Vancouver
2010-04-02,Los Angeles,Phoenix
2010-04-02,Monterrey,Merida
2010-04-02,Birmingham,Nashville
2010-04-02,Atlanta,Charlotte
2010-04-02,Denver,Seattle
2010-04-02,Dallas,San Antonio
2010-04-02,Tijuana,Oakland
2010-04-02,Calgary,Vancouver
2010-04-03,Los Angeles,Phoenix
2010-04-03,Monterrey,Merida
2010-04-03,Birmingham,Nashville
2010-04-03,Atlanta,Charlotte
2010-04-03,Denver,Seattle
2010-04-03,Dallas,San Antonio
2010-04-03,Tijuana,Oakland
2010-04-03,Calgary,Vancouver
2010-04-04,Los Angeles,Phoenix
2010-04-04,Monterrey,Merida
2010-04-04,Birmingham,Nashville
2010-04-05,Birmingham,Charlotte
2010-04-04,Seattle,Calgary
2010-04-05,Oakland,Los Angeles
2010-04-05,Atlanta,Nashville
2010-04-05,Monterrey,Dallas
2010-04-05,Merida,San Antonio
2010-04-05,Phoenix,Tijuana
2010-04-05,Denver,Vancouver
2010-04-06,Birmingham,Charlotte
2010-04-05,Seattle,Calgary
2010-04-06,Oakland,Los Angeles
2010-04-06,Atlanta,Nashville
2010-04-06,Monterrey,Dallas
2010-04-06,Merida,San Antonio
2010-04-06,Phoenix,Tijuana
2010-04-06,Denver,Vancouver
2010-04-07,Birmingham,Charlotte
2010-04-06,Seattle,Calgary
2010-04-07,Oakland,Los Angeles
2010-04-07,Atlanta,Nashville
2010-04-07,Monterrey,Dallas
2010-04-07,Merida,San Antonio
2010-04-07,Phoenix,Tijuana
2010-04-07,Denver,Vancouver
2010-04-08,Merida,Dallas
2010-04-08,Tijuana,Phoenix
2010-04-08,Calgary,Denver
2010-04-08,Los Angeles,Oakland
2010-04-08,San Antonio,Monterrey
2010-04-08,Charlotte,Nashville
2010-04-08,Seattle,Vancouver
2010-04-08,Atlanta,Birmingham
2010-04-09,Merida,Dallas
2010-04-09,Tijuana,Phoenix
2010-04-09,Calgary,Denver
2010-04-09,Los Angeles,Oakland
2010-04-09,San Antonio,Monterrey
2010-04-09,Charlotte,Nashville
2010-04-09,Seattle,Vancouver
2010-04-09,Atlanta,Birmingham
2010-04-10,Merida,Dallas
2010-04-10,Tijuana,Phoenix
2010-04-10,Calgary,Denver
2010-04-10,Los Angeles,Oakland
2010-04-10,San Antonio,Monterrey
2010-04-10,Charlotte,Nashville
2010-04-10,Seattle,Vancouver
2010-04-10,Atlanta,Birmingham
2010-04-11,Tijuana,Los Angeles
2010-04-11,San Antonio,Merida
2010-04-11,Vancouver,Denver
2010-04-11,Nashville,Birmingham
2010-04-11,Dallas,Monterrey
2010-04-11,Phoenix,Oakland
2010-04-11,Calgary,Seattle
2010-04-11,Charlotte,Atlanta
2010-04-12,Tijuana,Los Angeles
2010-04-12,San Antonio,Merida
2010-04-12,Vancouver,Denver
2010-04-12,Nashville,Birmingham
2010-04-12,Dallas,Monterrey
2010-04-12,Phoenix,Oakland
2010-04-12,Calgary,Seattle
2010-04-12,Charlotte,Atlanta
2010-04-13,Tijuana,Los Angeles
2010-04-13,San Antonio,Merida
2010-04-13,Vancouver,Denver
2010-04-13,Nashville,Birmingham
2010-04-13,Dallas,Monterrey
2010-04-13,Phoenix,Oakland
2010-04-13,Calgary,Seattle
2010-04-13,Charlotte,Atlanta
2010-04-14,Vancouver,Seattle
2010-04-14,Oakland,Tijuana
2010-04-14,Nashville,Charlotte
2010-04-14,Phoenix,Los Angeles
2010-04-14,Merida,Monterrey
2010-04-15,Denver,Calgary
2010-04-15,Birmingham,Atlanta
2010-04-15,San Antonio,Dallas
2010-04-15,Vancouver,Seattle
2010-04-15,Oakland,Tijuana
2010-04-15,Nashville,Charlotte
2010-04-15,Phoenix,Los Angeles
2010-04-15,Merida,Monterrey
