Date,Home,Away
2010-04-01,Winnipeg,St. Paul
2010-04-01,Montreal,Boston
2010-04-01,Columbus,Akron
2010-04-01,New York,New Haven
2010-04-01,St. Louis,Chicago
2010-04-02,"Washington, D.C.",Toronto
2010-04-02,Philadelphia,Pittsburgh
2010-04-02,Indianapolis,Detroit
2010-04-02,Winnipeg,St. Paul
2010-04-02,Montreal,Boston
2010-04-02,Columbus,Akron
2010-04-02,New York,New Haven
2010-04-02,St. Louis,Chicago
2010-04-03,"Washington, D.C.",Toronto
2010-04-03,Philadelphia,Pittsburgh
2010-04-03,Indianapolis,Detroit
2010-04-03,Winnipeg,St. Paul
2010-04-03,Montreal,Boston
2010-04-03,Columbus,Akron
2010-04-03,New York,New Haven
2010-04-03,St. Louis,Chicago
2010-04-04,"Washington, D.C.",Toronto
2010-04-04,Philadelphia,Pittsburgh
2010-04-04,Indianapolis,Detroit
2010-04-04,Chicago,St. Louis
2010-04-05,Pittsburgh,Toronto
2010-04-04,New York,Boston
2010-04-05,"Washington, D.C.",Philadelphia
2010-04-05,Indianapolis,Akron
2010-04-05,St. Paul,Winnipeg
2010-04-05,New Haven,Montreal
2010-04-05,Detroit,Columbus
2010-04-05,Chicago,St. Louis
2010-04-06,Pittsburgh,Toronto
2010-04-05,New York,Boston
2010-04-06,"Washington, D.C.",Philadelphia
2010-04-06,Indianapolis,Akron
2010-04-06,St. Paul,Winnipeg
2010-04-06,New Haven,Montreal
2010-04-06,Detroit,Columbus
2010-04-06,Chicago,St. Louis
2010-04-07,Pittsburgh,Toronto
2010-04-06,New York,Boston
2010-04-07,"Washington, D.C.",Philadelphia
2010-04-07,Indianapolis,Akron
2010-04-07,St. Paul,Winnipeg
2010-04-07,New Haven,Montreal
2010-04-07,Detroit,Columbus
2010-04-08,Montreal,New York
2010-04-08,Toronto,"Washington, D.C."
2010-04-08,Detroit,Akron
2010-04-08,Winnipeg,Chicago
2010-04-08,Indianapolis,Columbus
2010-04-08,New Haven,Boston
2010-04-08,St. Louis,St. Paul
2010-04-08,Pittsburgh,Philadelphia
2010-04-09,Montreal,New York
2010-04-09,Toronto,"Washington, D.C."
2010-04-09,Detroit,Akron
2010-04-09,Winnipeg,Chicago
2010-04-09,Indianapolis,Columbus
2010-04-09,New Haven,Boston
2010-04-09,St. Louis,St. Paul
2010-04-09,Pittsburgh,Philadelphia
2010-04-10,Montreal,New York
2010-04-10,Toronto,"Washington, D.C."
2010-04-10,Detroit,Akron
2010-04-10,Winnipeg,Chicago
2010-04-10,Indianapolis,Columbus
2010-04-10,New Haven,Boston
2010-04-10,St. Louis,St. Paul
2010-04-10,Pittsburgh,Philadelphia
2010-04-11,Boston,New Haven
2010-04-11,Philadelphia,Toronto
2010-04-11,Chicago,St. Paul
2010-04-11,Columbus,Detroit
2010-04-11,Winnipeg,St. Louis
2010-04-11,"Washington, D.C.",Pittsburgh
2010-04-11,New York,Montreal
2010-04-11,Akron,Indianapolis
2010-04-12,Boston,New Haven
2010-04-12,Philadelphia,Toronto
2010-04-12,Chicago,St. Paul
2010-04-12,Columbus,Detroit
2010-04-12,Winnipeg,St. Louis
2010-04-12,"Washington, D.C.",Pittsburgh
2010-04-12,New York,Montreal
2010-04-12,Akron,Indianapolis
2010-04-13,Boston,New Haven
2010-04-13,Philadelphia,Toronto
2010-04-13,Chicago,St. Paul
2010-04-13,Columbus,Detroit
2010-04-13,Winnipeg,St. Louis
2010-04-13,"Washington, D.C.",Pittsburgh
2010-04-13,New York,Montreal
2010-04-13,Akron,Indianapolis
2010-04-14,Chicago,Winnipeg
2010-04-14,Columbus,Indianapolis
2010-04-14,Toronto,Pittsburgh
2010-04-14,Boston,Montreal
2010-04-14,New Haven,New York
2010-04-15,Philadelphia,"Washington, D.C."
2010-04-15,St. Paul,St. Louis
